City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
289,Coihaique,-45.5752,-72.0662,50.61,88,91,8.23,CL,overcast clouds
290,Gat,31.61,34.7642,70.92,35,100,5.46,IL,overcast clouds
291,Pisco,-13.7,-76.2167,64.02,94,12,4.79,PE,few clouds
292,Sint-Gillis-Waas,51.228,4.1206,51.06,96,100,1.99,BE,overcast clouds
293,Byron Bay,-28.65,153.6167,77.88,68,63,12.73,AU,broken clouds
294,Chifeng,42.2683,118.9636,19.89,33,0,6.6,CN,clear sky
295,Kem,64.9555,34.5793,23.47,96,100,5.91,RU,overcast clouds
296,Zhigansk,66.7697,123.3711,-34.56,99,94,10.22,RU,overcast clouds
297,Egvekinot,66.3167,-179.1667,-22.2,79,4,6.42,RU,clear sky
298,Faya,18.3851,42.4509,41.52,45,0,3.15,SA,clear sky
299,Ukiah,39.1502,-123.2078,53.44,93,90,3.44,US,overcast clouds
300,Oberkirch,48.5324,8.0786,43.41,90,85,1.25,DE,overcast clouds
301,Gizo,-8.103,156.8419,85.69,70,31,7.05,SB,scattered clouds
302,Ambilobe,-13.2,49.05,72.25,79,1,3.65,MG,clear sky
303,Morondava,-20.2833,44.2833,78.21,74,0,1.59,MG,clear sky
304,Lima,-12.0432,-77.0282,65.14,86,27,7.11,PE,scattered clouds
305,Sarankhola,22.3082,89.7897,56.95,60,4,4.79,BD,clear sky
306,Bazarnyye Mataki,54.8833,49.9333,13.14,88,22,5.77,RU,few clouds
307,Palmer,42.1584,-72.3287,39.13,63,0,7.45,US,clear sky
308,Trincomalee,8.5711,81.2335,80.31,82,98,16.49,LK,overcast clouds
309,Kang,-23.6752,22.7876,70.83,69,100,6.87,BW,overcast clouds
310,Fort Nelson,58.8053,-122.7002,-4.85,100,100,2.13,CA,overcast clouds
311,Bandarbeyla,9.4942,50.8122,75.9,78,10,20.4,SO,clear sky
312,Maues,-3.3836,-57.7186,74.71,98,100,0.98,BR,light rain
313,Pechenga,69.5259,31.1703,31.06,88,100,17.96,RU,overcast clouds
314,Auki,-8.7676,160.7034,86.2,72,99,12.88,SB,overcast clouds
315,Bumba,2.1833,22.4667,73.0,87,47,1.9,CD,scattered clouds
316,Port Hedland,-20.3167,118.5667,87.85,70,0,10.36,AU,clear sky
317,Rosarito,32.3333,-117.0333,59.95,62,1,4.5,MX,clear sky
318,Plettenberg Bay,-34.0527,23.3716,65.23,94,100,0.69,ZA,light rain
319,Katsuura,35.1333,140.3,53.71,49,76,14.18,JP,broken clouds
320,Bac Lieu,9.285,105.7244,77.31,83,75,6.24,VN,broken clouds
321,Capaci,38.1711,13.2393,50.25,89,40,4.61,IT,scattered clouds
322,Tigil,57.8,158.6667,21.52,80,100,18.23,RU,overcast clouds
323,Kijang,35.2442,129.2139,36.9,23,0,4.36,KR,clear sky
324,Tual,-5.6667,132.75,83.88,74,100,12.75,ID,overcast clouds
325,La Palma,33.8464,-118.0467,63.91,59,1,1.99,US,clear sky
326,Kanel,15.4916,-13.1763,79.32,11,100,8.5,SN,overcast clouds
327,Nandura,20.8333,76.45,63.16,61,99,5.86,IN,overcast clouds
328,Vestmanna,62.1564,-7.1664,38.32,87,90,6.91,FO,overcast clouds
329,Erenhot,43.6475,111.9767,16.79,57,0,16.35,CN,clear sky
330,Havoysund,70.9963,24.6622,34.68,90,100,5.19,NO,light rain
331,Oltu,40.5498,42.0013,35.4,46,6,5.88,TR,clear sky
332,Aki,33.5,133.9,52.07,54,3,6.49,JP,clear sky
333,San Quintin,30.4833,-115.95,58.01,72,0,7.07,MX,clear sky
334,Muri,23.3667,85.8667,60.03,53,92,2.37,IN,overcast clouds
335,Hithadhoo,-0.6,73.0833,80.85,79,43,10.25,MV,scattered clouds
336,Mar Del Plata,-38.0023,-57.5575,66.22,83,0,8.99,AR,clear sky
337,Butembo,0.15,29.2833,59.18,80,100,2.8,CD,overcast clouds
338,Kondinskoye,59.6481,67.41,12.16,95,92,7.76,RU,overcast clouds
339,Mantua,45.1667,10.7833,42.44,88,100,1.99,IT,overcast clouds
340,Kassala,15.451,36.4,72.75,46,0,8.61,SD,clear sky
341,Hamilton,39.1834,-84.5333,41.76,62,0,5.86,US,clear sky
342,Lancaster,40.2504,-76.2499,40.32,56,1,3.44,US,clear sky
343,Manokwari,-0.8667,134.0833,83.23,72,100,1.63,ID,overcast clouds
344,Batticaloa,7.7102,81.6924,78.69,85,99,10.54,LK,light rain
345,Winnemucca,40.973,-117.7357,44.65,45,90,12.66,US,overcast clouds
